,TransactionID,AccountID,TransactionType,Amount,TransactionDate,Season
125,126,4278,Payment,3802.31,7/5/2024,Summer
126,127,3273,Withdrawal,3976.57,5/19/2022,Spring
127,128,4691,Payment,1776.48,4/26/2024,Spring
128,129,4419,Withdrawal,9244.73,9/10/2022,Fall
129,130,1806,Transfer,7808.06,11/8/2023,Fall
130,131,3528,Deposit,9235.4,5/8/2023,Spring
131,132,2266,Withdrawal,9987.71,8/26/2024,Summer
132,133,2028,Transfer,3645.41,7/31/2023,Summer
133,134,2060,Payment,7332.72,5/8/2023,Spring
134,135,2695,Deposit,8723.36,7/15/2023,Summer
135,136,3843,Deposit,5233.59,11/1/2022,Fall
136,137,1634,Transfer,6426.54,5/4/2025,Spring
137,138,795,Withdrawal,3924.25,12/31/2024,Winter
138,139,3664,Withdrawal,3285.94,9/2/2023,Fall
139,140,896,Withdrawal,2356.49,3/22/2025,Spring
140,141,3690,Payment,2090.48,10/18/2024,Fall
141,142,3613,Transfer,7737.29,4/9/2025,Spring
142,143,3450,Withdrawal,4984.28,3/8/2025,Spring
143,144,3505,Payment,65.26,6/11/2023,Summer
144,145,1290,Payment,6764.44,12/29/2023,Winter
145,146,2354,Payment,7034.02,9/1/2023,Fall
146,147,1352,Payment,1234.82,3/2/2023,Spring
147,148,1812,Payment,673.42,12/21/2022,Winter
148,149,3451,Transfer,4399.29,2/26/2023,Winter
149,150,4249,Withdrawal,4853.72,12/31/2024,Winter
150,151,3736,Payment,3611.99,4/15/2025,Spring
151,152,2947,Transfer,1817.07,7/18/2024,Summer
152,153,580,Transfer,9236.53,3/8/2025,Spring
153,154,2104,Transfer,7786.86,3/30/2023,Spring
154,155,2342,Withdrawal,1314.06,7/2/2024,Summer
155,156,1604,Withdrawal,7671.03,5/4/2023,Spring
156,157,4362,Payment,3085.43,9/16/2023,Fall
157,158,1222,Deposit,3576.93,8/25/2023,Summer
158,159,1414,Withdrawal,38.2,5/1/2024,Spring
159,160,2282,Deposit,5369.51,12/22/2024,Winter
160,161,903,Transfer,6187.28,8/26/2023,Summer
161,162,2975,Payment,8608.11,10/16/2024,Fall
162,163,4465,Deposit,6298.04,7/28/2024,Summer
163,164,3752,Withdrawal,57.45,9/17/2024,Fall
164,165,585,Deposit,971.19,7/10/2022,Summer
165,166,1846,Deposit,4547.91,3/9/2025,Spring
166,167,4437,Withdrawal,8148.5,12/4/2023,Winter
167,168,2799,Transfer,2330.94,12/7/2024,Winter
168,169,102,Withdrawal,7794.9,5/30/2022,Spring
169,170,4472,Withdrawal,6877.14,5/19/2023,Spring
170,171,1732,Deposit,5119.94,5/13/2022,Spring
171,172,3901,Withdrawal,9643.62,8/27/2024,Summer
172,173,1873,Withdrawal,1938.65,9/17/2023,Fall
173,174,1050,Withdrawal,3826.1,9/3/2022,Fall
174,175,2080,Payment,7067.82,12/5/2024,Winter
175,176,791,Payment,1540.57,10/15/2023,Fall
176,177,4325,Deposit,7468.42,5/12/2022,Spring
177,178,2181,Transfer,8019.69,9/30/2023,Fall
178,179,3681,Transfer,2981.08,5/16/2023,Spring
179,180,1855,Withdrawal,6113.82,2/19/2025,Winter
180,181,4402,Payment,4524.42,6/19/2023,Summer
181,182,1795,Payment,9035.36,5/14/2023,Spring
182,183,4138,Payment,9579.65,6/11/2024,Summer
183,184,35,Deposit,9831.85,10/8/2022,Fall
184,185,4927,Payment,9713.1,12/17/2022,Winter
185,186,4462,Transfer,5962.01,5/28/2022,Spring
186,187,240,Payment,104.2,1/14/2023,Winter
187,188,151,Withdrawal,1637.76,3/14/2024,Spring
188,189,700,Withdrawal,4948.16,7/22/2024,Summer
189,190,1072,Transfer,7214.43,12/31/2024,Winter
190,191,3888,Payment,3587.1,11/30/2022,Fall
191,192,2936,Withdrawal,8839.13,8/27/2022,Summer
192,193,842,Withdrawal,914.1,2/22/2024,Winter
193,194,3883,Transfer,9139.44,7/30/2023,Summer
194,195,33,Transfer,7216.54,2/2/2025,Winter
195,196,4830,Payment,6279.73,5/31/2024,Spring
196,197,4228,Deposit,379.83,12/4/2022,Winter
197,198,3482,Payment,4686.83,2/16/2024,Winter
198,199,4706,Deposit,5924.61,11/27/2023,Fall
199,200,4338,Payment,9300.88,11/17/2023,Fall
200,201,4021,Transfer,3319.85,7/3/2024,Summer
201,202,1891,Deposit,6426.26,8/20/2023,Summer
202,203,661,Withdrawal,7559.63,8/26/2023,Summer
203,204,953,Withdrawal,8265.58,9/14/2022,Fall
204,205,2748,Deposit,4066.19,9/28/2022,Fall
205,206,4159,Deposit,2138.69,4/17/2023,Spring
206,207,232,Deposit,8964.06,12/21/2022,Winter
207,208,842,Deposit,3757.1,3/31/2023,Spring
208,209,3592,Deposit,3940.15,12/24/2022,Winter
209,210,1727,Payment,347.26,1/2/2025,Winter
210,211,2920,Transfer,7192.92,5/16/2022,Spring
211,212,3524,Withdrawal,9190.5,8/15/2024,Summer
212,213,1507,Transfer,3699.92,6/10/2024,Summer
213,214,3979,Transfer,3153.93,7/17/2023,Summer
214,215,112,Withdrawal,8521.47,1/19/2025,Winter
215,216,4492,Transfer,8630.92,9/27/2022,Fall
216,217,4441,Payment,2034.58,8/26/2024,Summer
217,218,1781,Withdrawal,7633.64,2/24/2023,Winter
218,219,2594,Transfer,7070.31,8/31/2024,Summer
219,220,4239,Payment,2387.36,9/11/2022,Fall
220,221,592,Withdrawal,2302.3,12/28/2022,Winter
221,222,621,Deposit,1306.72,5/1/2024,Spring
222,223,785,Withdrawal,4482.78,9/13/2023,Fall
223,224,1237,Transfer,8919.27,10/9/2022,Fall
224,225,3036,Withdrawal,4374.65,12/11/2022,Winter
225,226,1914,Payment,9146.5,7/2/2024,Summer
226,227,4259,Withdrawal,3619.54,3/6/2023,Spring
227,228,2850,Deposit,2492.06,8/8/2024,Summer
228,229,2303,Deposit,7476.44,7/3/2023,Summer
229,230,4891,Payment,9020.71,3/9/2024,Spring
230,231,1120,Payment,4675.49,3/21/2025,Spring
231,232,4378,Deposit,6813.97,8/9/2024,Summer
232,233,1782,Withdrawal,7483.65,4/3/2024,Spring
233,234,2413,Transfer,9163.17,2/12/2025,Winter
234,235,1358,Payment,4845.61,12/17/2024,Winter
235,236,3150,Transfer,2339.29,9/29/2022,Fall
236,237,3296,Deposit,289.12,11/11/2023,Fall
237,238,2219,Transfer,5574.14,8/31/2023,Summer
238,239,1610,Payment,9514.67,7/10/2023,Summer
239,240,45,Withdrawal,8492.73,1/29/2023,Winter
240,241,3987,Withdrawal,4238.51,6/19/2023,Summer
241,242,890,Transfer,2875.59,3/8/2024,Spring
242,243,2101,Deposit,7759.57,2/21/2023,Winter
243,244,1142,Withdrawal,2379.22,3/6/2023,Spring
244,245,4177,Deposit,3031.61,7/4/2022,Summer
245,246,3119,Transfer,7038.94,10/31/2022,Fall
246,247,3715,Withdrawal,623.31,7/15/2022,Summer
247,248,4832,Deposit,544.72,12/31/2022,Winter
248,249,313,Transfer,4326.98,11/4/2023,Fall
249,250,2012,Payment,8323.52,10/12/2023,Fall
250,251,2423,Payment,7019.35,3/26/2023,Spring
251,252,4201,Payment,8064.23,10/7/2022,Fall
252,253,895,Deposit,5286.81,7/16/2024,Summer
253,254,907,Payment,2515.1,5/19/2022,Spring
254,255,2208,Deposit,4916.09,2/22/2024,Winter
255,256,973,Payment,2628.79,7/23/2022,Summer
256,257,2658,Deposit,2862.04,1/13/2023,Winter
257,258,666,Withdrawal,9302.04,6/22/2024,Summer
258,259,3442,Deposit,8947.87,6/17/2022,Summer
259,260,2791,Deposit,6597.21,6/2/2022,Summer
260,261,4431,Withdrawal,2612.41,3/16/2023,Spring
261,262,4377,Withdrawal,4663.38,4/28/2023,Spring
262,263,2113,Transfer,2458.85,1/1/2025,Winter
263,264,3588,Withdrawal,3173.89,5/8/2023,Spring
264,265,3254,Transfer,3934.13,3/22/2023,Spring
265,266,1953,Transfer,7248.36,10/6/2023,Fall
266,267,4820,Withdrawal,1447.5,7/13/2024,Summer
267,268,370,Withdrawal,981.24,8/11/2024,Summer
268,269,1907,Transfer,7757.7,11/25/2022,Fall
269,270,2897,Transfer,6454.25,9/23/2023,Fall
270,271,2244,Deposit,8916.74,7/21/2023,Summer
271,272,2664,Deposit,8372.42,1/5/2023,Winter
272,273,499,Payment,4175.24,1/27/2023,Winter
273,274,345,Transfer,9039.29,10/8/2023,Fall
274,275,1855,Deposit,7530.27,2/20/2023,Winter
275,276,2296,Payment,8452.23,10/27/2024,Fall
276,277,4591,Transfer,4990.36,2/26/2025,Winter
277,278,2281,Deposit,1375.23,11/22/2022,Fall
278,279,1244,Payment,8699.08,6/2/2024,Summer
279,280,4843,Withdrawal,221.99,1/20/2025,Winter
280,281,4621,Transfer,4838.78,11/25/2024,Fall
281,282,4750,Payment,5214.64,5/3/2025,Spring
282,283,4416,Transfer,3006.45,2/3/2023,Winter
283,284,1590,Deposit,9650.13,9/14/2022,Fall
284,285,3784,Payment,6172.92,4/10/2024,Spring
285,286,39,Transfer,1821.71,3/27/2023,Spring
286,287,3015,Withdrawal,3026.45,2/20/2023,Winter
287,288,4987,Withdrawal,1339.91,4/6/2025,Spring
288,289,1834,Withdrawal,2534.45,1/29/2025,Winter
289,290,4569,Payment,1087.85,9/19/2022,Fall
290,291,976,Transfer,7802.42,3/30/2024,Spring
291,292,815,Deposit,5476.53,3/3/2024,Spring
292,293,1572,Withdrawal,5841.04,12/11/2024,Winter
293,294,2443,Withdrawal,6768.83,5/24/2024,Spring
294,295,4203,Withdrawal,6571.92,11/21/2022,Fall
295,296,4128,Payment,5881.1,12/13/2023,Winter
296,297,2906,Withdrawal,7614.23,11/1/2023,Fall
297,298,3234,Withdrawal,6957.78,9/4/2022,Fall
298,299,2907,Payment,3938.15,7/9/2024,Summer
299,300,2343,Withdrawal,3876.09,5/30/2024,Spring
300,301,566,Deposit,4558.42,9/14/2023,Fall
301,302,2382,Transfer,5272.09,10/15/2022,Fall
302,303,2450,Transfer,7162.26,6/3/2023,Summer
303,304,2685,Transfer,9940.95,5/22/2023,Spring
304,305,3277,Transfer,8320.13,9/22/2022,Fall
305,306,1666,Transfer,2035.5,12/1/2024,Winter
306,307,714,Withdrawal,9100.42,1/16/2025,Winter
307,308,3207,Withdrawal,755.55,6/4/2023,Summer
308,309,4184,Transfer,892.01,3/17/2025,Spring
309,310,4491,Payment,9050.03,12/28/2022,Winter
310,311,4788,Deposit,4704.96,9/11/2024,Fall
311,312,4056,Deposit,164.8,4/4/2025,Spring
312,313,20,Deposit,4736.56,9/12/2024,Fall
313,314,4492,Withdrawal,690.76,2/6/2025,Winter
314,315,2940,Transfer,2640.46,8/16/2022,Summer
315,316,2565,Payment,8156.31,11/21/2023,Fall
316,317,4522,Withdrawal,520.36,4/13/2024,Spring
317,318,3559,Payment,9671.03,7/18/2024,Summer
318,319,27,Payment,4082.99,12/4/2022,Winter
319,320,2919,Withdrawal,9322.48,1/9/2024,Winter
320,321,425,Deposit,3680.69,8/26/2022,Summer
321,322,475,Withdrawal,5428.25,2/13/2025,Winter
322,323,3472,Transfer,3009.15,8/12/2023,Summer
323,324,2206,Deposit,5629.92,10/12/2022,Fall
324,325,4377,Deposit,7864.66,3/4/2024,Spring
325,326,2220,Deposit,6124.17,2/24/2024,Winter
326,327,181,Deposit,4892.81,6/5/2023,Summer
327,328,3647,Deposit,1490.39,4/27/2025,Spring
328,329,2609,Deposit,9831.05,12/16/2022,Winter
329,330,2229,Transfer,116.92,7/4/2023,Summer
330,331,3849,Transfer,7070.51,7/26/2023,Summer
331,332,1302,Transfer,3323,9/8/2024,Fall
332,333,3914,Payment,3871.08,9/21/2022,Fall
333,334,3853,Payment,1046.62,6/20/2023,Summer
334,335,3334,Transfer,2427.67,12/13/2023,Winter
335,336,325,Withdrawal,5093.77,1/10/2024,Winter
336,337,1647,Transfer,1025.06,5/18/2022,Spring
337,338,2306,Payment,2888.48,1/15/2023,Winter
338,339,3718,Withdrawal,7337.2,8/13/2022,Summer
339,340,348,Withdrawal,6788.83,3/28/2025,Spring
340,341,2204,Payment,7195.66,5/24/2023,Spring
341,342,3950,Payment,1164.19,7/4/2022,Summer
342,343,4021,Payment,2386.14,2/18/2024,Winter
343,344,4054,Deposit,775.71,4/14/2024,Spring
344,345,3206,Withdrawal,8774.26,11/23/2022,Fall
345,346,3880,Deposit,4909.05,4/27/2025,Spring
346,347,2062,Transfer,4305.08,5/14/2022,Spring
347,348,1796,Deposit,8167.38,3/2/2023,Spring
348,349,660,Transfer,3351.96,10/8/2022,Fall
349,350,1923,Withdrawal,4301.19,9/26/2023,Fall
350,351,2088,Payment,899.93,8/10/2023,Summer
351,352,66,Withdrawal,8457.87,5/10/2023,Spring
352,353,4249,Transfer,3482.32,3/4/2025,Spring
353,354,3750,Withdrawal,5079.89,3/15/2024,Spring
354,355,1840,Payment,9113.07,6/28/2022,Summer
355,356,4968,Payment,4984.77,8/8/2024,Summer
356,357,2937,Payment,1208.66,9/21/2024,Fall
357,358,2355,Withdrawal,9980.05,11/22/2023,Fall
358,359,3472,Payment,6224.15,2/19/2025,Winter
359,360,3171,Withdrawal,289.88,4/20/2024,Spring
360,361,2005,Transfer,6434.03,9/30/2024,Fall
361,362,4218,Payment,511.86,11/5/2023,Fall
362,363,1352,Withdrawal,294.64,12/6/2022,Winter
363,364,2579,Payment,8226.48,10/4/2024,Fall
364,365,3222,Deposit,6764.37,7/1/2022,Summer
365,366,1908,Withdrawal,4899.19,7/15/2024,Summer
366,367,588,Withdrawal,4543.3,11/28/2022,Fall
367,368,3381,Transfer,1112.72,12/22/2024,Winter
368,369,2431,Payment,8453.77,3/6/2024,Spring
369,370,4320,Deposit,2879.37,7/21/2022,Summer
370,371,3348,Withdrawal,4433.95,11/20/2023,Fall
371,372,2379,Withdrawal,8709.74,4/13/2025,Spring
372,373,3788,Withdrawal,3969.52,7/22/2023,Summer
373,374,2134,Withdrawal,6394.17,10/8/2022,Fall
374,375,4166,Payment,848.73,4/21/2023,Spring
375,376,2651,Deposit,5183.31,2/9/2024,Winter
376,377,2153,Transfer,8073.94,4/7/2025,Spring
377,378,23,Payment,2608.45,12/15/2024,Winter
378,379,2761,Withdrawal,1120.53,12/2/2023,Winter
379,380,427,Withdrawal,120.43,5/3/2024,Spring
380,381,1854,Deposit,1372.96,11/7/2024,Fall
381,382,1645,Transfer,3602.83,10/1/2023,Fall
382,383,817,Withdrawal,195.2,7/26/2024,Summer
383,384,2802,Deposit,6063.16,9/13/2022,Fall
384,385,94,Payment,3555.18,7/11/2024,Summer
385,386,4126,Payment,5103.11,2/25/2025,Winter
386,387,233,Transfer,7394.7,7/3/2023,Summer
387,388,906,Withdrawal,3617.04,4/10/2023,Spring
388,389,4047,Withdrawal,1686.32,2/1/2024,Winter
389,390,1332,Payment,6703.77,9/24/2023,Fall
390,391,944,Transfer,3631.73,11/13/2022,Fall
391,392,717,Payment,7608.23,11/29/2024,Fall
392,393,2073,Withdrawal,6773.25,9/8/2023,Fall
393,394,2611,Withdrawal,8173.88,11/21/2022,Fall
394,395,11,Withdrawal,9972.81,2/24/2023,Winter
395,396,867,Payment,1394.75,11/19/2024,Fall
396,397,4879,Transfer,3738.32,7/27/2024,Summer
397,398,290,Deposit,8182.33,7/12/2023,Summer
398,399,2740,Deposit,3564.13,6/6/2023,Summer
399,400,2812,Deposit,6227.92,3/16/2024,Spring
400,401,1848,Payment,5164.48,12/13/2022,Winter
401,402,1890,Transfer,1267.1,5/18/2023,Spring
402,403,3397,Deposit,8680.43,6/27/2024,Summer
403,404,1451,Payment,4902.99,4/25/2024,Spring
404,405,4933,Payment,1199.89,7/24/2022,Summer
405,406,3644,Payment,7673.45,3/25/2023,Spring
406,407,545,Transfer,9726.37,10/26/2024,Fall
407,408,4829,Withdrawal,687.19,7/25/2024,Summer
408,409,3930,Transfer,4804.56,11/13/2023,Fall
409,410,1075,Payment,4926.39,3/15/2025,Spring
410,411,1532,Payment,5218.3,2/3/2023,Winter
411,412,1381,Deposit,8327.75,7/31/2024,Summer
412,413,1611,Transfer,6772.58,12/1/2023,Winter
413,414,3853,Transfer,1414.87,3/24/2025,Spring
414,415,2901,Transfer,1407.23,7/23/2022,Summer
415,416,4025,Transfer,7354.59,8/30/2023,Summer
416,417,595,Deposit,6960.95,9/29/2024,Fall
417,418,4807,Withdrawal,3683.76,10/3/2024,Fall
418,419,3096,Transfer,945.59,4/24/2025,Spring
419,420,3340,Deposit,7264.65,10/29/2023,Fall
420,421,968,Deposit,9872.72,9/16/2023,Fall
421,422,4932,Withdrawal,7989.56,11/19/2022,Fall
422,423,2251,Transfer,9415.33,7/21/2024,Summer
423,424,3469,Transfer,5599.86,1/1/2024,Winter
424,425,2668,Withdrawal,1606.25,9/30/2023,Fall
425,426,3611,Withdrawal,4547.1,8/7/2023,Summer
426,427,4904,Transfer,2581.59,4/21/2024,Spring
427,428,1881,Payment,2965.05,12/4/2023,Winter
428,429,635,Transfer,9768.09,11/24/2024,Fall
429,430,2609,Deposit,7123.7,10/21/2024,Fall
430,431,2463,Deposit,4384.68,10/19/2023,Fall
431,432,972,Withdrawal,6007.28,6/20/2022,Summer
432,433,160,Deposit,3563.01,5/29/2024,Spring
433,434,777,Transfer,8826.33,1/11/2023,Winter
434,435,4665,Deposit,3658.84,5/21/2022,Spring
435,436,2318,Payment,9543.38,11/3/2022,Fall
436,437,1697,Payment,1874.13,5/12/2023,Spring
437,438,586,Payment,2945.9,1/7/2023,Winter
438,439,217,Payment,721.01,2/11/2024,Winter
439,440,2898,Deposit,483.25,10/17/2023,Fall
440,441,4062,Withdrawal,9809.06,10/15/2023,Fall
441,442,2326,Transfer,9010.31,10/28/2022,Fall
442,443,2810,Payment,2670.94,12/16/2024,Winter
443,444,1805,Transfer,2848.81,12/9/2023,Winter
444,445,2558,Payment,6843.6,4/20/2025,Spring
445,446,4994,Payment,5207.92,6/28/2022,Summer
446,447,4448,Transfer,4474.95,5/18/2022,Spring
447,448,65,Transfer,1419.27,8/21/2022,Summer
448,449,4794,Payment,4000.35,6/16/2024,Summer
449,450,2884,Transfer,70.9,2/26/2023,Winter
450,451,1667,Deposit,4283.15,4/12/2023,Spring
451,452,4291,Withdrawal,9952.12,12/29/2024,Winter
452,453,3764,Transfer,6883.02,8/12/2023,Summer
453,454,1097,Withdrawal,6211.83,2/15/2024,Winter
454,455,4968,Transfer,1528.59,9/23/2024,Fall
455,456,2848,Transfer,5146.63,8/31/2023,Summer
456,457,396,Withdrawal,7108.07,8/26/2024,Summer
457,458,240,Payment,6325.9,12/1/2022,Winter
458,459,3886,Deposit,6533.34,12/23/2023,Winter
459,460,729,Deposit,988.96,1/25/2023,Winter
460,461,795,Withdrawal,4538,4/5/2025,Spring
461,462,3652,Withdrawal,5456.13,6/6/2024,Summer
462,463,2252,Deposit,7119.42,9/14/2024,Fall
463,464,1509,Transfer,8807.12,9/18/2024,Fall
464,465,2317,Transfer,1274.29,9/26/2023,Fall
465,466,3275,Deposit,6991.67,4/1/2023,Spring
466,467,4352,Payment,9201.28,2/9/2025,Winter
467,468,689,Payment,3526.53,11/26/2023,Fall
468,469,3205,Deposit,5293.51,5/7/2024,Spring
469,470,2955,Transfer,2214.91,11/7/2023,Fall
470,471,1444,Transfer,6385.06,5/9/2025,Spring
471,472,4161,Deposit,5090.35,11/7/2023,Fall
472,473,4871,Transfer,5268.11,2/9/2023,Winter
473,474,3103,Transfer,4238.54,1/31/2025,Winter
474,475,4444,Deposit,791.05,4/5/2024,Spring
475,476,69,Deposit,4830.38,5/17/2022,Spring
476,477,363,Deposit,9321.51,6/7/2024,Summer
477,478,2343,Deposit,9981.1,5/21/2022,Spring
478,479,4835,Withdrawal,8883.54,4/4/2024,Spring
479,480,3914,Transfer,5864.8,2/17/2023,Winter
480,481,1508,Withdrawal,6273.66,10/18/2024,Fall
481,482,4040,Withdrawal,3743.14,11/15/2022,Fall
482,483,872,Payment,9701.66,12/20/2024,Winter
483,484,4181,Transfer,4636.61,4/2/2024,Spring
484,485,4827,Deposit,9060.84,12/4/2022,Winter
485,486,1855,Deposit,6139.62,11/5/2024,Fall
486,487,101,Transfer,7419.77,11/14/2023,Fall
487,488,3455,Transfer,2825.48,8/21/2022,Summer
488,489,1496,Transfer,4019.49,8/7/2022,Summer
489,490,4135,Withdrawal,9020.72,8/18/2023,Summer
490,491,1706,Payment,8361.63,6/14/2022,Summer
491,492,3004,Deposit,6198.66,2/8/2025,Winter
492,493,3739,Payment,9375.91,8/20/2024,Summer
493,494,2576,Payment,4127,7/4/2022,Summer
494,495,1361,Transfer,9821.77,1/11/2023,Winter
495,496,4336,Deposit,5108.21,4/26/2024,Spring
496,497,4591,Payment,3562.31,3/31/2024,Spring
497,498,3765,Withdrawal,1452.86,3/10/2024,Spring
